hours,requests
1,275561
2,244254
3,248380
4,238125
5,227817
6,231343
7,196871
8,190123
9,223662
10,259369
11,291673
12,283692
13,260090
14,283374
15,310711
16,321409
17,321291
18,341180
19,310652
20,284821
21,260694
22,257533
23,244506
24,218884
25,202686
26,180108
27,175855
28,169506
29,161198
30,161655
31,145407
32,143994
33,154466
34,182786
35,186294
36,244530
37,269025
38,192633
39,221486
40,230347
41,247585
42,244057
43,243164
44,239260
45,213150
46,230661
47,221702
48,188151
49,163494
50,141549
51,137052
52,136524
53,139081
54,143659
55,123587
56,121111
57,125622
58,139527
59,155125
60,158846
61,144444
62,164293
63,184821
64,202276
65,211555
66,219751
67,200734
68,198000
69,171125
70,186094
71,177522
72,152543
73,135994
74,120443
75,112409
76,106743
77,108556
78,103490
79,100864
80,100399
81,88870
82,82688
83,90382
84,83424
85,88607
86,90749
87,96738
88,101062
89,111042
90,117085
91,116433
92,114337
93,111301
94,107284
95,108522
96,90449
97,79015
98,72428
99,73676
100,80932
101,71366
102,73825
103,69357
104,76849
105,70632
106,75917
107,77479
108,75094
109,67968
110,67752
111,73078
112,84056
113,91961
114,89643
115,88726
116,85465
117,82939
118,100126
119,92869
120,83973
121,75707
122,69068
123,77961
124,72288
125,88247
126,79505
127,78952
128,79305
129,94731
130,113345
131,114217
132,121195
133,116603
134,115361
135,136187
136,138120
137,149308
138,151915
139,152013
140,146269
141,134598
142,132276
143,130770
144,105570
145,92515
146,79243
147,81139
148,82412
149,83849
150,90995
151,77698
152,87666
153,91445
154,106887
155,108928
156,108142
157,104117
158,104919
159,127701
160,129529
161,125874
162,135817
163,134055
164,128912
165,129252
166,125325
167,111247
168,94081
169,87613
170,85117
171,72009
172,75240
173,85208
174,85320
175,70988
176,76491
177,75609
178,87538
179,85131
180,94897
181,90749
182,89396
183,104462
184,114414
185,120995
186,130700
187,124844
188,109592
189,103018
190,108643
191,100341
192,84853
193,66783
194,76808
195,75179
196,73902
197,78939
198,67496
199,59561
200,59036
201,69447
202,77294
203,91152
204,82833
205,89097
206,82597
207,107181
208,110770
209,119350
210,106246
211,113106
212,103113
213,103619
214,107971
215,98719
216,83348
217,64976
218,68705
219,62244
220,67985
221,64716
222,68780
223,70468
224,59417
225,74362
226,80039
227,82236
228,87521
229,71486
230,75620
231,85015
232,92628
233,93455
234,93939
235,90258
236,83831
237,90961
238,89392
239,88408
240,74362
241,0
242,0
243,0
244,0
